spolka,sekcja,nazwa_oryginalna,standard_key,znak,waga,pewnosc,zrodlo,uwagi
,*,Pozycja,POMIN,1,1,PEWNE,NEU Q1 2026,wiersz naglowkowy
,RZIS,Przychody ze sprzedaży,revenues,1,1,PEWNE,NEU Q1 2026,
,RZIS,Koszt własny sprzedaży,cost_of_sales,-1,1,PEWNE,NEU Q1 2026,standard trzyma koszty ze znakiem dodatnim
,RZIS,Zysk brutto ze sprzedaży,POMIN,1,1,PEWNE,NEU Q1 2026,PULAPKA: to marza brutto (przychody-KWS). Standardowy gross_profit = po kosztach sprzedazy i zarzadu -> liczony regula
,RZIS,Koszty sprzedaży,distribution_expenses,-1,1,PEWNE,NEU Q1 2026,
,RZIS,Koszty ogólnego zarządu,administrative_expenses,-1,1,PEWNE,NEU Q1 2026,
,RZIS,Pozostałe przychody operacyjne,other_operating_income,1,1,PEWNE,NEU Q1 2026,
,RZIS,Pozostałe koszty operacyjne,other_operating_costs,-1,1,PEWNE,NEU Q1 2026,
,RZIS,Zmiana stanu odpisów aktualizujących należności i pożyczki,other_operating_income,1,1,PEWNE,NEU Q1 2026,"POTWIERDZONE wzorcem: 5024-4157=867 = other_operating_income; odpisy netuja sie z PRZYCHODAMI, nie kosztami"
,RZIS,Zysk z działalności operacyjnej,ebit,1,1,PEWNE,NEU Q1 2026,
,RZIS,Przychody finansowe,finance_income,1,1,PEWNE,NEU Q1 2026,
,RZIS,Koszty finansowe,finance_costs,-1,1,PEWNE,NEU Q1 2026,
,RZIS,Udział w zyskach/stratach jednostek stowarzyszonych,other_income,1,1,WYSOKA,NEU Q1 2026,
,RZIS,Pozostałe zyski/straty z inwestycji,other_income,1,1,WYSOKA,NEU Q1 2026,
,RZIS,Zysk przed opodatkowaniem,before_tax_profit,1,1,PEWNE,NEU Q1 2026,
,RZIS,Zysk przed opodatkowaniem,net_gross_profit,1,1,PEWNE,NEU Q1 2026,standard duplikuje: zysk z dzial. gospodarczej = przed opodatkowaniem
,RZIS,Podatek dochodowy,POMIN,1,1,WYSOKA,NEU Q1 2026,standard nie ma klucza na podatek - wynika z roznicy before_tax_profit - net_profit
,RZIS,Zysk netto,net_profit,1,1,PEWNE,NEU Q1 2026,
,RZIS,Zysk przypadający akcjonariuszom jednostki dominującej,shareholder_net_profit,1,1,PEWNE,NEU Q1 2026,"NIE zasila year_profit: u spolek MSSF year_profit zostaje pusty, bo caly wynik siedzi w retained_earnings"
,RZIS,Zysk (strata) przypadający akcjonariuszom niekontrolującym,POMIN,1,1,PEWNE,NEU Q1 2026,zawarte w nonshare_capital w bilansie
,RZIS,Średnia ważona liczba akcji zwykłych,share_amount,1,1,DO_WERYFIKACJI,NEU Q1 2026,UWAGA: to srednia wazona. Standard oczekuje liczby akcji na dzien bilansowy (tu: kapital podstawowy 4626 tys. / 1 zl = 4 626 000)
,RZIS,"Pozycje, które nie mogą być przeniesione do wyniku:",POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Zysk (strata) z wyceny inwestycji w instrumenty kapitałowe,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,"Pozycje, które nie mogą być przeniesione do wyniku, przed opodatkowaniem",POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,"Pozycje, które mogą być przeniesione do wyniku:",POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
,RZIS,Zabezpieczenie przepływów pieniężnych,POMIN,1,1,PEWNE,NEU Q1 2026,sekcja innych calkowitych dochodow / EPS - poza zakresem standardu
